frameworks,latencyAvg,latencyStdev,latencyMax,totalRequests,startTime,endTime,5xx,connect,read,write,timeout
aspcore-mw-ado-pg,17.55ms,2.07ms,35.15ms,432375,1697055125,1697055140,,,,,
aspcore-mw-ado-pg,23.42ms,2.53ms,56.13ms,323598,1697055142,1697055157,,,,,
aspcore-mw-dap-my,4.14ms,4.50ms,223.68ms,2209909,1697055831,1697055846,,,,,
aspcore-mw-dap-my,16.65ms,6.18ms,296.57ms,461081,1697055848,1697055863,,,,,
aspcore-mw-dap-my,32.69ms,7.70ms,295.36ms,232971,1697055865,1697055880,,,,,
aspcore-mw-dap-my,48.90ms,8.66ms,253.42ms,155216,1697055882,1697055898,,,,,
aspcore-mw-dap-my,65.19ms,12.56ms,352.94ms,116490,1697055900,1697055915,,,,,
aspcore-mw-dap-pg,1.71ms,1.31ms,24.83ms,4909395,1697056451,1697056466,,,,,
aspcore-mw-dap-pg,6.09ms,1.63ms,34.01ms,1256118,1697056468,1697056483,,,,,
aspcore-mw-dap-pg,11.90ms,1.96ms,37.98ms,637441,1697056485,1697056500,,,,,
aspcore-mw-dap-pg,17.87ms,2.38ms,46.63ms,424188,1697056502,1697056518,,,,,
aspcore-mw-dap-pg,23.84ms,2.67ms,63.48ms,318006,1697056520,1697056535,,,,,
aspcore-mw-ef-pg,1.93ms,1.39ms,46.12ms,4283270,1697057187,1697057202,,,,,
aspcore-mw-ef-pg,6.27ms,1.92ms,29.59ms,1222214,1697057204,1697057219,,,,,
aspcore-mw-ef-pg,12.27ms,2.58ms,40.74ms,618211,1697057221,1697057236,,,,,
aspcore-mw-ef-pg,18.22ms,3.10ms,42.74ms,416031,1697057238,1697057253,,,,,
aspcore-mw-ef-pg,24.18ms,3.52ms,56.71ms,313362,1697057255,1697057271,,,,,
aspcore-vb-mw-ado-my,4.29ms,5.45ms,319.88ms,2218707,1697058247,1697058262,,,,,
aspcore-vb-mw-ado-my,16.57ms,7.01ms,310.95ms,466655,1697058264,1697058279,,,,,
aspcore-vb-mw-ado-my,32.42ms,8.14ms,252.84ms,235241,1697058281,1697058297,,,,,
aspcore-vb-mw-ado-my,48.31ms,8.64ms,248.98ms,157067,1697058299,1697058314,,,,,
aspcore-vb-mw-ado-my,64.48ms,11.53ms,330.02ms,117643,1697058316,1697058331,,,,,
aspcore-vb-mw-ado-pg,2.00ms,1.55ms,35.02ms,4209148,1697058872,1697058887,,,,,
aspcore-vb-mw-ado-pg,8.48ms,2.55ms,54.03ms,899150,1697058889,1697058904,,,,,
aspcore-vb-mw-ado-pg,16.70ms,4.26ms,60.14ms,454369,1697058906,1697058921,,,,,
aspcore-vb-mw-ado-pg,25.00ms,6.07ms,86.63ms,303300,1697058923,1697058938,,,,,
aspcore-vb-mw-ado-pg,33.32ms,7.93ms,92.02ms,227644,1697058940,1697058955,,,,,
http4k-ratpack,2.34ms,783.41us,18.28ms,3247479,1697237254,1697237269,,,,,
http4k-ratpack,7.82ms,1.85ms,33.35ms,970500,1697237271,1697237286,,,,,
http4k-ratpack,14.96ms,3.32ms,52.38ms,506806,1697237288,1697237303,,,,,
http4k-ratpack,22.03ms,3.83ms,81.53ms,343929,1697237305,1697237320,,,,,
http4k-ratpack,29.05ms,4.96ms,90.61ms,260984,1697237322,1697237337,,,,,
javalin-postgres,4.81ms,7.31ms,234.07ms,3117076,1697257820,1697257835,,,,,
javalin-postgres,96.58ms,550.13ms,7.78s,1004741,1697257837,1697257853,,0.0,0.0,0.0,164.0
javalin-postgres,144.61ms,718.53ms,5.87s,510214,1697257855,1697257870,,0.0,0.0,0.0,191.0
javalin-postgres,97.04ms,476.58ms,4.57s,329184,1697257872,1697257887,,0.0,0.0,0.0,130.0
javalin-postgres,14.07ms,8.40ms,112.06ms,248739,1697257889,1697257904,,0.0,0.0,0.0,88.0
jooby,2.82ms,2.42ms,39.31ms,2997709,1697262446,1697262461,,,,,
jooby,7.38ms,2.26ms,75.99ms,1047266,1697262463,1697262479,,,,,
jooby,14.45ms,2.13ms,72.12ms,525454,1697262481,1697262496,,,,,
jooby,21.63ms,2.10ms,103.12ms,350412,1697262498,1697262513,,,,,
jooby,28.74ms,2.39ms,79.74ms,263716,1697262515,1697262530,,,,,
jooby-jetty,2.49ms,4.53ms,221.13ms,3937706,1697263330,1697263345,,,,,
jooby-jetty,258.92ms,459.78ms,2.46s,1092056,1697263347,1697263362,,,,,
jooby-jetty,117.58ms,417.03ms,3.16s,540887,1697263364,1697263380,,0.0,0.0,0.0,319.0
jooby-jetty,16.74ms,123.67ms,2.62s,358827,1697263382,1697263397,,0.0,0.0,0.0,137.0
jooby-jetty,10.40ms,1.86ms,166.31ms,268754,1697263399,1697263414,,0.0,0.0,0.0,76.0
jooby-mvc,1.72ms,1.28ms,32.53ms,4760153,1697264204,1697264220,,,,,
jooby-mvc,7.09ms,838.43us,56.15ms,1071022,1697264222,1697264237,,,,,
jooby-mvc,14.24ms,1.27ms,67.21ms,532325,1697264239,1697264254,,,,,
jooby-mvc,21.33ms,1.73ms,41.64ms,355337,1697264256,1697264271,,,,,
jooby-mvc,28.89ms,4.37ms,77.15ms,262660,1697264273,1697264288,,,,,
jooby-netty,1.67ms,1.29ms,32.94ms,4930913,1697265079,1697265094,,,,,
jooby-netty,7.14ms,746.09us,57.28ms,1063139,1697265096,1697265111,,,,,
jooby-netty,14.27ms,1.05ms,40.17ms,531283,1697265113,1697265128,,,,,
jooby-netty,21.27ms,1.93ms,43.44ms,356435,1697265130,1697265145,,,,,
jooby-netty,28.52ms,2.15ms,53.71ms,265773,1697265147,1697265162,,,,,
jooby-pgclient,1.07ms,771.08us,20.41ms,7600060,1697265813,1697265828,,,,,
jooby-pgclient,4.20ms,2.10ms,36.17ms,1896588,1697265830,1697265845,,,,,
jooby-pgclient,8.07ms,2.52ms,45.87ms,959040,1697265847,1697265862,,,,,
jooby-pgclient,11.92ms,2.92ms,52.09ms,642635,1697265864,1697265879,,,,,
jooby-pgclient,15.75ms,3.44ms,62.97ms,482949,1697265881,1697265897,,,,,
micronaut,3.82ms,2.15ms,62.24ms,2036633,1697316001,1697316016,,,,,
micronaut,6.40ms,1.26ms,217.27ms,1188350,1697316019,1697316034,,,,,
micronaut,9.97ms,1.78ms,60.33ms,764523,1697316036,1697316051,,,,,
micronaut,13.86ms,0.95ms,30.35ms,547122,1697316053,1697316068,,,,,
micronaut,17.98ms,2.11ms,70.70ms,422578,1697316070,1697316085,,,,,
micronaut-data-jdbc,3.10ms,5.67ms,144.12ms,3022927,1697316842,1697316857,,,,,
micronaut-data-jdbc,12.77ms,14.19ms,168.37ms,817083,1697316859,1697316874,,,,,
micronaut-data-jdbc,20.30ms,17.66ms,177.56ms,425689,1697316876,1697316891,,,,,
micronaut-data-jdbc,28.23ms,20.51ms,190.96ms,287210,1697316893,1697316908,,,,,
micronaut-data-jdbc,36.54ms,23.50ms,205.09ms,216080,1697316910,1697316926,,,,,
micronaut-data-jdbc-graalvm,8.60ms,12.41ms,234.09ms,1167763,1697317694,1697317709,,,,,
micronaut-data-jdbc-graalvm,22.79ms,20.60ms,337.71ms,388968,1697317711,1697317726,,,,,
micronaut-data-jdbc-graalvm,40.39ms,33.43ms,306.03ms,210357,1697317728,1697317743,,,,,
micronaut-data-jdbc-graalvm,55.18ms,38.69ms,363.96ms,145100,1697317745,1697317760,,,,,
micronaut-data-jdbc-graalvm,69.38ms,42.23ms,348.67ms,112613,1697317762,1697317777,,,,,
